DateComtd,DayComtd,TimeComtd,Barangay,X,Y,CrimeType,CrimeCategory,Classification,CaseStat,Solved,Cleared,"Place of Occurrence"
20/01/2020,Monday,14:20:00,Looc,123.311729,9.31629,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
20/01/2020,Monday,14:20:00,Looc,123.311729,9.31629,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
21/01/2020,Tuesday,17:00:00,"Poblacion No. 4 (Barangay 4)",123.310143,9.306332,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
21/01/2020,Tuesday,23:39:00,Cadawinonan,123.264519,9.295919,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
21/01/2020,Tuesday,23:45:00,Cadawinonan,123.275101,9.301377,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
21/01/2020,Tuesday,11:55:00,Cadawinonan,123.274757,9.299778,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
22/01/2020,Wednesday,12:30:00,"Poblacion No. 3 (Barangay 3)",123.305565,9.305991,"INDEX CRIME",THEFT,"Qualified Theft","Victim refused to file a case",Yes,Yes,"(Commercial-Business Establishments) - Resort/Hotel/Motel/Inn"
22/01/2020,Wednesday,19:00:00,Cadawinonan,123.274818,9.299741,"NON-INDEX CRIME",OTHERNONINDEX,"Alarm & Scandal","Victim refused to file a case",Yes,Yes,"(Inside Residences) - Public Residential Area"
22/01/2020,Wednesday,23:05:00,Calindagan,123.303734,9.299633,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
22/01/2020,Wednesday,23:05:00,Calindagan,123.303734,9.299633,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
23/01/2020,Thursday,9:30:00,Balugo,123.2827,9.30341,"NON-INDEX CRIME",SPECIALLAWS,"RA 9165 (ILL DRUGS)","Filed in Pros / Court",Yes,Yes,"(Inside Residences) - Public Residential Area"
23/01/2020,Thursday,3:30:00,"Poblacion No. 5 (Barangay 5)",123.307373,9.316073,"NON-INDEX CRIME",OTHERNONINDEX,"Malicious Mischief","Victim refused to file a case",Yes,Yes,"Along the Roads/Streets/Alleys"
